canonical_env,env_name,is_alias,scope,module,file,line,style,tool,var,snippet
pan-blocks,pan-blocks,,code,pan_blocks,biopytools/pan_blocks/config.py,26,env-path,nucmer,,"'nucmer', '~/miniforge3/envs/pan-blocks/bin/nucmer', 'NUCMER_PATH'"
pan-blocks,pan-blocks,,code,pan_blocks,biopytools/pan_blocks/config.py,29,env-path,delta-filter,,"'delta-filter', '~/miniforge3/envs/pan-blocks/bin/delta-filter', 'DELTA_FILTER_PATH'"
pan-blocks,pan-blocks,,code,pan_blocks,biopytools/pan_blocks/config.py,32,env-path,show-coords,,"'show-coords', '~/miniforge3/envs/pan-blocks/bin/show-coords', 'SHOW_COORDS_PATH'"
pan-blocks,pan-blocks,,code,pan_blocks,biopytools/pan_blocks/config.py,38,env-path,minimap2,,"'minimap2', '~/miniforge3/envs/pan-blocks/bin/minimap2', 'MINIMAP2_PATH'"
panman_v.0.1.4,panman_v.0.1.4,,code,panman,biopytools/panman/config.py,53,env-field,,,"conda_env: str = ""panman_v.0.1.4""     # Conda环境名"
singularity_v.3.8.7,singularity_v.3.8.7,,code,panman,biopytools/panman/config.py,114,env-path,singularity,,"default_singularity = expand_path(""~/miniforge3/envs/singularity_v.3.8.7/bin/singularity"")"
singularity_v.3.8.7,singularity_v.3.8.7,,code,panman,biopytools/panman/pangraph_builder.py,48,env-path,singularity,,"default_singularity = expand_path(""~/miniforge3/envs/singularity_v.3.8.7/bin/singularity"")"
vg_v.1.7.0,vg_v.1.7.0,,code,panvar,biopytools/panvar/config.py,23,env-field,,,"vg_env: str = ""vg_v.1.7.0"""
GATK_v.4.6.2.0,GATK_v.4.6.2.0,,code,parse_seq,biopytools/parse_seq/utils.py,122,env-path,samtools,,# 例如: /miniforge3/envs/GATK_v.4.6.2.0/bin/samtools
GATK_v.4.6.2.0,GATK_v.4.6.2.0,,code,parse_seq,biopytools/parse_seq/utils.py,123,env-path,samtools,,# e.g.: /miniforge3/envs/GATK_v.4.6.2.0/bin/samtools
pggb_v.0.7.4,pggb_v.0.7.4,,code,pggb,biopytools/pggb/config.py,21,env-field,,,"conda_env: str = ""pggb_v.0.7.4"""
phobius_v.1.0.1,phobius_v.1.0.1,,code,phobius,biopytools/phobius/config.py,43,env-path,phobius.pl,,"phobius_path: str = ""~/miniforge3/envs/phobius_v.1.0.1/bin/phobius.pl"""
phobius_v.1.0.1,phobius_v.1.0.1,,code,phobius,biopytools/phobius/main.py,95,env-path,phobius.pl,,"default=""~/miniforge3/envs/phobius_v.1.0.1/bin/phobius.pl"","
trimal_v.1.5.0,trimal_v.1.5.0,,code,phylo_trim,biopytools/phylo_trim/config.py,49,env-path,trimal,,"'trimal', '~/miniforge3/envs/trimal_v.1.5.0/bin/trimal', 'TRIMAL_PATH'"
signalp6,signalp6,,code,phyto_effector,biopytools/phyto_effector/config.py,34,env-path,signalp6,,"'signalp6', '~/miniforge3/envs/signalp6/bin/signalp6', 'SIGNALP_PATH'"
signalp_v.3.0b,signalp_v.3.0b,,code,phyto_effector,biopytools/phyto_effector/config.py,42,env-path,signalp,,"'signalp3', '~/miniforge3/envs/signalp_v.3.0b/bin/signalp', 'SIGNALP3_PATH'"
resistify_v.1.3.0,resistify_v.1.3.0,,code,phyto_effector,biopytools/phyto_effector/config.py,49,env-path,hmmsearch,,"'hmmsearch', '~/miniforge3/envs/resistify_v.1.3.0/bin/hmmsearch', 'HMMSEARCH_PATH'"
Blast_v.2.16.0,Blast_v.2.16.0,,code,phyto_effector,biopytools/phyto_effector/config.py,56,env-path,blastp,,"'blastp', '~/miniforge3/envs/Blast_v.2.16.0/bin/blastp', 'BLASTP_PATH'"
tmmhmm_v.2.0c,tmmhmm_v.2.0c,,code,phyto_effector,biopytools/phyto_effector/config.py,67,env-path,tmhmm,,"'tmhmm', '~/miniforge3/envs/tmmhmm_v.2.0c/bin/tmhmm', 'TMHMM_PATH'"
signalp6,signalp6,,code,phyto_effector,biopytools/phyto_effector/main.py,261,env-path,signalp6,,"parser.add_argument('--signalp-path', default='~/miniforge3/envs/signalp6/bin/signalp6',"
signalp_v.3.0b,signalp_v.3.0b,,code,phyto_effector,biopytools/phyto_effector/main.py,273,env-path,signalp,,"default='~/miniforge3/envs/signalp_v.3.0b/bin/signalp',"
resistify_v.1.3.0,resistify_v.1.3.0,,code,phyto_effector,biopytools/phyto_effector/main.py,279,env-path,hmmsearch,,"parser.add_argument('--hmmsearch-path', default='~/miniforge3/envs/resistify_v.1.3.0/bin/hmmsearch',"
Blast_v.2.16.0,Blast_v.2.16.0,,code,phyto_effector,biopytools/phyto_effector/main.py,283,env-path,blastp,,"parser.add_argument('--blastp-path', default='~/miniforge3/envs/Blast_v.2.16.0/bin/blastp',"
tmmhmm_v.2.0c,tmmhmm_v.2.0c,,code,phyto_effector,biopytools/phyto_effector/main.py,289,env-path,tmhmm,,"parser.add_argument('--tmhmm-path', default='~/miniforge3/envs/tmmhmm_v.2.0c/bin/tmhmm',"
Population_genetics,Population_genetics,,code,pi,biopytools/pi/config.py,46,env-path,vcftools,,"'~/miniforge3/envs/Population_genetics/bin/vcftools',"
mafft_v.7.525,mafft_v.7.525,,code,pi4gene,biopytools/pi4gene/config.py,29,env-path,mafft,,"'~/miniforge3/envs/mafft_v.7.525/bin/mafft',"
picrust_v.2.6.3,picrust_v.2.6.3,,code,picrust2,biopytools/picrust2/config.py,55,env-path,picrust2_pipeline.py,,"'~/miniforge3/envs/picrust_v.2.6.3/bin/picrust2_pipeline.py',"
picrust_v.2.6.3,picrust_v.2.6.3,,code,picrust2,biopytools/picrust2/config.py,62,env-path,picrust2_pipeline_singleRef.py,,"'~/miniforge3/envs/picrust_v.2.6.3/bin/picrust2_pipeline_singleRef.py',"
pixy_v.2.0.0,pixy_v.2.0.0,,code,pixy,biopytools/pixy/config.py,43,env-path,,,"conda_env: str = ""~/miniforge3/envs/pixy_v.2.0.0""  # conda环境路径|conda environment path"
pixy_v.2.0.0,pixy_v.2.0.0,,code,pixy,biopytools/pixy/main.py,88,env-path,,,"default='~/miniforge3/envs/pixy_v.2.0.0',"
<var>,<var>,,code,pixy,biopytools/pixy/utils.py,101,conda-run-var,,env_name,"f""conda run -n {env_name} --no-capture-output pixy --version"","
<var>,<var>,,code,pixy,biopytools/pixy/utils.py,140,conda-run-var,,env_name,"f""conda run -n {env_name} --no-capture-output {dep} --version"","
